Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-238085,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288107,,3973419,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:59','2016-10-21 21:05:59',Resuelto,,
161021-238086,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288108,,3645844,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:00','2016-10-21 21:06:00',Resuelto,,
161021-238087,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288109,,7297630,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:00','2016-10-21 21:06:00',Resuelto,,
161021-238088,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288110,,2972465,Modificación medio de pago,,,,'2021-04-28 13:20:00','2016-10-21 21:06:00','2016-10-21 21:06:00',Resuelto,,
161021-238089,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288111,,4172425,Sin teléfono/Equivocado,,,,'2021-04-28 13:20:00','2016-10-21 21:06:00','2016-10-21 21:06:00',Atendido,,
161021-238090,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288112,,3521884,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:00','2016-10-21 21:06:00',Resuelto,,
161021-238092,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288114,,7742985,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:01','2016-10-21 21:06:01',Resuelto,,
161021-238094,,Incidente importado desde SAC,,Emisión Masivos,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,288116,,3464023,Ampliación de Cobertura con inspección,,,,'2021-04-28 13:20:00','2016-10-21 21:06:02','2016-10-21 21:06:02',Resuelto,,
161021-238095,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288117,,201323,No contesta,,,,'2021-04-28 13:20:00','2016-10-21 21:06:02','2016-10-21 21:06:02',Atendido,,
161021-238097,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288119,,4528942,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:02','2016-10-21 21:06:02',Resuelto,,
161021-238099,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288121,,5547349,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 21:06:03','2016-10-21 21:06:03',Resuelto,,
161021-238100,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288122,,6185469,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 21:06:03','2016-10-21 21:06:03',Resuelto,,
161021-238101,,Incidente importado desde SAC,,Oficina Cordoba,Usuario Importador,Telemarketing,,,Solucionado,,,,,APR1 - AUTOMOTORES,288123,,7225499,Daños materiales Cordoba,,,,'2021-04-28 13:20:00','2016-10-21 21:06:03','2016-10-21 21:06:03',Resuelto,,
161021-238102,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288124,,1329763,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:03','2016-10-21 21:06:03',Resuelto,,
161021-238103,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288125,,3485191,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:04','2016-10-21 21:06:04',Resuelto,,
161021-238104,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288126,,6995694,Mensaje,,,,'2021-04-28 13:20:00','2016-10-21 21:06:04','2016-10-21 21:06:04',Atendido,,
161021-238106,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288128,,1288672,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:04','2016-10-21 21:06:04',Resuelto,,
161021-238108,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288130,,3058953,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:05','2016-10-21 21:06:05',Resuelto,,
161021-238110,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288132,,5507704,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:05','2016-10-21 21:06:05',Resuelto,,
161021-238111,,Incidente importado desde SAC,,Pago Telefonico,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288133,,1368622,Pago telefónico,,,,'2021-04-28 13:20:00','2016-10-21 21:06:05','2016-10-21 21:06:05',Resuelto,,
161021-238112,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288134,,3425489,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:06:05','2016-10-21 21:06:05',Resuelto,,
